,longName,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,priceHint,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,timeZoneFullName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
CUB,Lionheart Holdings,,,,,,,,,2,,,,,,,,,605,605,29150,4860,311267008,9.96,10.55,,10.0997,10.046403,,,,,,,,,,,,,,,,,,,,,,,,,,,NGM,EQUITY,CUB,America/New_York,10.15,,,,,,none,,,,,,,,,,,,,,,,,,,,,
CUE,"Cue Biopharma, Inc.",Biotechnology,Healthcare,53,3,9,8,4,7,4,,,,,,1.796,,-2.245614,380008,380008,416068,231990,81088384,0.45,2.58,9.775574,1.2234,1.183355,41794928,,48243468,63350300,1780964,3800384,1727654400,1730332800,0.0296,0.00549,0.23595,1.54,0.0298,63350300,0.785,1.6305732,,-46957000,-0.91,-0.58,5.039,-0.876,-0.4980392,0.19995654,,,NCM,EQUITY,CUE,America/New_York,1.28,6,2,3.6,4,,none,5,30029000,0.617,-47706000,11263000,1.937,2.06,8295000,52.09,0.172,-0.52111,-1.38873,-29490000,-19995250,-38531000,,0.923,,,-3.9063199,
CULP,"Culp, Inc.",Textile Manufacturing,Consumer Cyclical,1000,,,,,,2,,,1649376000,,3.64,1.219,,17.966665,8641,8641,21285,10770,67693544,4.25,6.85,0.30058232,5.41,5.12735,59153552,-0.07876,9216703,12559100,20395,21229,1728950400,1731628800,0.0016,0.07626,0.64308,1.55,0.0023,12559100,6.105,0.88288283,,-17738000,-1.67,0.31,0.263,-11.186,0.06944442,0.19995654,0.115,1649376000,NYQ,EQUITY,CULP,America/New_York,5.39,,,,,,none,,13472000,1.079,-5288000,7801000,0.843,1.958,225208000,11.286,18.065,-0.05582,-0.22851999,25930000,-694875,-3995000,,-0.002,0.11514,-0.02348,-0.074640006,
CURI,CuriosityStream Inc.,Broadcasting,Communication Services,48,7,10,10,8,10,4,0.1,0.0376,1741910400,,,1.161,,-88.66667,166720,166720,244105,325380,147574672,0.45,3,2.8503075,1.8802,1.5734,118356048,-0.2856,29299670,55479200,203377,260060,1734048000,1736899200,0.0037,0.45569,0.091800004,0.9,0.0065,55479200,1.121,2.3728814,,-14787000,-0.28,-0.1,2.286,20.201,4.32,0.19995654,0.025,1728604800,NCM,EQUITY,CURI,America/New_York,2.66,3,3,3,3,,none,1,33209000,0.599,5859000,3990400,1.834,1.901,51775000,6.414,0.964,-0.091680005,-0.21253,25058000,15559100,2574000,,-0.194,0.48398,0.11316,-0.25801,
CURR,CURRENC Group Inc.,,,,,,,,,4,,,,,,,,,151758,151758,5592678,190820,62812800,1.185,7.08,,1.78342,2.118211,,,,,,,,,,,,,,,,,,,,,,,,,,,NGM,EQUITY,CURR,America/New_York,1.35,,,,,,none,,,,,,,,,,,,,,,,,,,,,
CUTR,"Cutera, Inc.",Medical Devices,Healthcare,430,10,4,9,4,8,4,,,,,,1.353,,-0.13540123,74775,74775,750901,193380,8855554,0.28,3.1,0.057055306,0.4144,1.0365,383432544,-0.92591006,17526321,20185900,4131624,4084024,1734048000,1736899200,0.2047,0.01979,0.37179002,2.53,0.20549999,20185900,-12.547,,,-143710000,-7.18,-3.24,2.47,-3.093,-0.8552632,0.19995654,,,NMS,EQUITY,CUTR,America/New_York,0.4387,2,2,2,2,,none,1,57614000,2.859,-123966000,432204992,1.63,2.882,155210000,,7.741,-0.25812998,,9198000,-79451624,-116620000,,-0.301,0.05926,-0.79870003,-1.11437,
CVKD,"Cadrenal Therapeutics, Inc.",Biotechnology,Healthcare,4,,,,,,2,,,,,,,,-4.379391,40986,40986,62320,40020,33332564,5.4,20.785,,15.852,11.056665,16283226,,687276,1782490,49842,85317,1734048000,1736899200,0.027999999,0.31695998,0.047340002,0.72,0.038,1782490,3.091,6.0498223,,-7608159,-6.73,-4.72,,-2.05,0.19871795,0.19995654,,,NCM,EQUITY,CVKD,America/New_York,18.7,45,30,35.66667,32,,none,3,4363900,3.953,-7943952,2232,3.444,3.688,,0.065,,-0.70992994,-1.25153,,-3667666,-6261289,,,,,,
CVM,CEL-SCI Corporation,Biotechnology,Healthcare,,10,10,9,6,10,4,,,841190400,,,0.688,,-0.8611364,472105,472105,1044410,525530,28079142,0.36,2.5,,0.5182,0.9869,37209944,,59687173,74107000,5249305,5508808,1732838400,1735603200,0.0709,0.024260001,0.08282,3.16,0.0726,74107000,0.156,2.4288461,,-29101132,-0.51,-0.44,,-1.458,-0.83898306,0.19995654,,,ASE,EQUITY,CVM,America/New_York,0.3789,10,6.2,7.73333,7,,none,3,435781,0.007,-25523336,12132186,0.079,0.643,,143.185,,-0.61405,-2.50198,-18951876,-8456696,-19039266,,,,,,
CVR,Chicago Rivet & Machine Co.,Tools & Accessories,Industrials,207,,,,,,2,0.4,0.020499999,1725494400,2.2564,3.16,0.188,,,1900,1900,2460,2720,14723851,13.81,22.27,0.48054776,16.1098,16.7208,16221797,-0.09996,727381,966132,7522,6400,1727654400,1730332800,0.0078,0.24608,0.19172001,3.38,0.0078,966132,26.877,0.56702757,,-3062804,-3.67,,0.529,-5.68,-0.03238094,0.19995654,0.03,1733356800,ASE,EQUITY,CVR,America/New_York,15.24,,,,,,none,,2627438,2.72,-2855903,,3.804,7.34,30639724,,31.714,-0.087799996,-0.11368,1411951,1551123,397234,,0.001,0.046079997,-0.093210004,0.013350001,
CVV,CVD Equipment Corporation,Specialty Industrial Machinery,Industrials,128,,,,,,4,,,,,,1.4,,8.756098,10510,10510,40285,23490,24705806,2.7,6.35,1.1431522,3.7136,3.7392,12299882,-0.24338,4658385,6881840,13541,22537,1727654400,1730332800,0.002,0.24494,0.21797001,0.68,0.0025,6881840,3.84,0.9348958,,-5260000,-0.64,0.41,0.569,-2.33,-0.248954,0.19995654,,,NCM,EQUITY,CVV,America/New_York,3.59,,,,,,none,,10031000,1.458,-5280000,309000,1.814,2.39,21612000,1.261,3.175,-0.10596,-0.19766001,3718000,-1448000,-3145000,,0.252,0.17202999,-0.24430999,-0.14152999,
CWD,CaliberCos Inc.,Asset Management,Financial Services,99,,,,,,4,,,,,,,,10.400001,5503,5503,80558,54380,14023027,0.374,1.259,0.19449413,0.57562,0.687295,195900544,-0.1984,9592023,15056400,216775,97921,1727654400,1730332800,0.0098,0.28739,0.046830002,3.03,0.020599999,22472800,0.123,5.0731707,,-14225000,-0.48,-0.26,2.717,-11.068,-0.4842975,0.19995654,,,NCM,EQUITY,CWD,America/New_York,0.624,4,3.5,3.75,3.75,,none,2,1909000,0.087,-17699000,86828000,0.639,3.579,72100000,91.202,3.357,-0.06428,-0.30241,-5715000,-21077000,-15386000,,-0.6,-0.07926,-0.24548,-0.54726005,
CWH,"Camping World Holdings, Inc.",Auto & Truck Dealerships,Consumer Cyclical,12261,7,10,6,10,9,2,0.5,0.0221,1734048000,2.7273002,4.88,2.517,,24.74554,692889,692889,1180643,1006540,1359442176,17.29,28.72,0.22639096,22.6464,21.6769,4637170688,-0.00397,39140457,60125700,7558969,5549159,1734048000,1736899200,0.1257,0.04468,0.76816005,5.58,0.1456,60125700,2.378,9.50799,-0.655,-23824000,-0.66,0.96,0.772,18.582,-0.14030421,0.19995654,0.125,1734048000,NYQ,EQUITY,CWH,America/New_York,22.61,35,23,28.08333,28,,none,12,28380000,0.624,249551008,3572111872,0.151,1.232,6004843008,2068.499,133.247,0.022909999,-0.31227,1787932032,45826248,176075008,-0.723,-0.003,0.29775,0.04156,0.03711,
CYCC,"Cyclacel Pharmaceuticals, Inc.",Biotechnology,Healthcare,,,,,,,4,,,,,,0.557,,-0.15879397,248763,248763,2694355,421770,3556927,0.31,4,44.461586,0.369,1.13505,-5185576,,1756864,11256100,66765,47934,1727654400,1730332800,0.031,0.04816,0.18025999,0.03,0.0323,11495600,0.573,0.55148345,,-17606000,-27.4,-1.99,-64.82,0.257,-0.8699187,0.19995654,,,NCM,EQUITY,CYCC,America/New_York,0.316,,,,,,none,,6000000,3.039,-20185000,5000,0.97,1.073,80000,0.501,0.044,-1.02529,-5.70693,80000,-7656750,-11513000,,-0.989,1,,-911,
CYCN,"Cyclerion Therapeutics, Inc.",Biotechnology,Healthcare,1,,,,,,4,,,,,,1.924,,-3.2137406,165903,165903,5197268,11480910,11409521,1.27,9.47,,3.2652,2.88435,1902954,,1230162,2710100,14439,10754,1727654400,1730332800,0.0057,0.21903,0.40410998,0.78,0.0087,2710100,4.562,0.9228409,,-10467000,-2.08,-1.31,,,0.1502732,0.19995654,,,NCM,EQUITY,CYCN,America/New_York,4.21,,,,,,none,,4588000,1.824,,,3.579,3.678,,,,-0.46554002,-1.50248,-553000,-6386125,-11453000,,,,,,
CYH,"Community Health Systems, Inc.",Medical Care Facilities,Healthcare,48000,1,5,6,1,2,4,,,1355356800,,,1.605,,20.10139,1945069,1945069,2644758,2476150,473812704,2.51,6.29,0.037750993,3.2602,4.1305,13099463680,-0.03179,104190219,138948000,13701136,9253537,1734048000,1736899200,0.0986,0.082770005,0.85128,5.47,0.1089,138948000,-13.771,,,-399000000,-3.02,0.35,1.044,10.871,-0.17433417,0.19995654,0.206612,1355356800,NYQ,EQUITY,CYH,America/New_York,3.41,6,2.5,4.47857,4.8,,none,7,33000000,0.249,1204999936,12128000000,1.045,1.462,12551000064,,95.314,0.0353,,5189000192,109625000,354000000,,0.001,0.41342998,0.09601,0.020060001,
CYN,Cyngn Inc.,Software - Application,Technology,81,,,,,,4,,,,,,-1.901,,-0.005553505,136017885,136017885,22069410,100926290,1294552,0.057,25.9,16.233849,1.93066,5.15874,1560090,,1914729,21504200,120088,198231,1726185600,1728950400,0.059299998,0.00456,0.12683,2.8,0.059499998,21504200,16.419,0.003666484,,-22618104,-29.23,-9.6,19.564,-0.069,-0.99675673,0.19995654,,,NCM,EQUITY,CYN,America/New_York,0.0602,12,12,12,12,,none,1,6994108,3.451,-22525290,691250,3.541,3.743,79744,7.124,0.125,-1.03623,-1.9131501,-191957,-12199076,-19456136,,-0.984,-2.40717,,-670.7679,
CYRX,"Cryoport, Inc.",Integrated Freight & Logistics,Industrials,1100,5,7,2,6,5,2,,,,,,1.633,,-7.0196056,206377,206377,352675,214910,336622368,5.32,20.11,1.4887352,7.7808,8.82235,329597280,-0.70084,39885537,49430600,1964992,2198722,1734048000,1736899200,0.0398,0.02691,1.00135,7.08,0.0478,50882300,7.815,0.87140113,,-166468000,-3.39,-0.97,1.458,-8.369,-0.5834862,0.19995654,,,NCM,EQUITY,CYRX,America/New_York,6.81,15,8,11.3,11,,none,10,272665984,5.516,-39384000,233366000,5.145,5.702,226112992,55.753,4.597,-0.051170003,-0.33148998,95611000,-14306250,-8361000,,0.009,0.42285,-0.17417999,-0.26885,
CYTH,"Cyclo Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,Healthcare,8,,,,,,4,,,,,,-0.381,,-1.8030304,84727953,84727953,1453356,8497230,38956200,0.55,1.92,34.400536,0.6922,0.94825,19514522,,15883538,32736300,114417,167192,1727654400,1730332800,0.004,0.40078998,0.13172,3.82,0.0046,32736300,0.167,7.125749,,-20738080,-0.9,-0.66,17.232,-0.923,-0.28742516,0.19995654,,,NCM,EQUITY,CYTH,America/New_York,1.19,0.95,0.95,0.95,0.95,,none,2,1121812,0.039,-21140932,2996885,0.123,0.453,1132430,,0.046,-2.8249302,,1036861,-10790528,-18366346,,0.051,0.91560996,,-45.779922,
DAIO,Data I/O Corporation,Electronic Components,Technology,91,,,,,,4,,,605404800,,,0.958,,51.69167,19799,19799,29930,23940,28645516,2.29,3.99,1.2211406,2.837,2.72005,17156352,-0.07533,7709193,9236020,15430,32420,1734048000,1736899200,0.0017,0.09445,0.3398,0.61,0.0018,9236020,2.078,1.4925408,,-1767000,-0.2,0.06,0.731,-16.836,-0.018987358,0.19995654,4.15,605404800,NCM,EQUITY,DAIO,America/New_York,3.1015,,,,,,none,,12372000,1.34,-1019000,886000,3.295,4.875,23458000,4.617,2.579,-0.038429998,-0.091079995,12891000,,,,-0.173,0.54954,-0.04344,-0.05993,
DALN,DallasNews Corporation,Publishing,Communication Services,533,,,,,,2,0.64,0.118999995,1707350400,0.7111,11.54,0.75,,,145909,145909,70306,28280,32971338,2.984,7.86,0.25045645,6.2834,4.704285,32770346,-0.026819998,4494593,4738630,118319,114834,1727654400,1730332800,0.0221,0.05775,0.40030998,4.23,0.028299998,5526940,0.553,11.139241,,-3531000,-1.13,,0.249,21.142,0.60835505,0.19995654,0.16,1707350400,NCM,EQUITY,DALN,America/New_York,6.16,,,,,,none,,17101000,3.195,1550000,21182000,1.192,1.422,131645000,651.954,24.595,-0.00044,-0.68002,1550000,1299875,2000,,-0.11,0.011770001,0.011770001,0.03263,
DARE,"Daré Bioscience, Inc.",Biotechnology,Healthcare,23,,,,,,4,,,,,,1.34,,-1.4768071,6230,6230,45510,27100,25868870,2.67,7.56,9.10996,3.22736,3.71494,16851778,-2.53602,8407824,8700390,29385,38803,1727654400,1730332800,0.0034,0.01592,0.07591,0.64,0.0035,8700390,-0.606,,,-7201358,-0.58,-1.36,5.935,-0.631,-0.31560773,0.19995654,,,NCM,EQUITY,DARE,America/New_York,2.9733,39,12,21.33333,13,,none,3,16414992,1.921,-26704360,5832952,1.187,1.428,2839625,218.339,0.36,-0.71422,,-18806124,-20976328,-10061013,,,,,-327.99118,
DATS,"DatChat, Inc.",Software - Application,Technology,12,,,,,,4,,,,,,2.268,,,570747,570747,8721923,573580,12627990,1.01,9.34,20108.264,2.8846,1.78841,509091,,2734337,4209330,363088,22430,1727654400,1730332800,0.120699994,0.09137999,0.04606,0.89,0.1328,4209330,2.995,1.0016695,,-5839585,-1.89,,810.655,-0.074,1.4793389,0.19995654,,,NCM,EQUITY,DATS,America/New_York,3,,,,,,none,,5249012,1.744,-6894039,44037,12.944,13.204,628,0.875,,-0.57045,-0.91242,-3250082,-3407619,-5899543,,-0.122,,,-8391.41,
DBD,"Diebold Nixdorf, Incorporated",Software - Application,Technology,21000,6,3,8,2,3,2,,,,,,,,9.02533,116725,116725,129095,96830,1673666304,30.37,51.81,0.44055444,44.532,42.39145,2520919808,5e-05,27062659,37576700,823951,974347,1734048000,1736899200,0.0219,0.01694,1.03321,7.7,0.045500003,37576700,28.382,1.5693045,,200000,-16.46,4.93,0.664,6.223,0.37341964,0.19995654,,,NYQ,EQUITY,DBD,America/New_York,44.54,65,60,62.5,62.5,,none,2,262400000,6.985,405100000,1100400000,0.707,1.448,3799000064,102.277,101.227,0.04285,0.00193,936200000,164937504,115600000,,-0.017,0.24643,0.10663,0.0699,
DBVT,DBV Technologies S.A.,Biotechnology,Healthcare,108,,,,,,4,,,,,,0.864,,-1.3703642,49971,49971,202150,46250,90683672,0.441,5.42,7.2459984,3.70338,1.602225,358557280,,41519782,20516500,446295,611381,1734048000,1736899200,0.0218,,0.16719,3.03,,108968000,0.562,7.3309608,,-102089000,-5.3,-1.07,28.65,,1.3953488,0.19995654,,,NCM,EQUITY,DBVT,America/New_York,4.12,33.433174,10.033051,21.733112,21.733112,,none,2,46441000,0.481,,7412000,2.153,2.224,12515000,13.717,0.13,-0.4625,-1.03107,12515000,-75982624,-105908000,,-0.548,1,,-28.29198,
DCTH,"Delcath Systems, Inc.",Medical Devices,Healthcare,76,,,,,,2,,,,,,0.76,,-219.59459,340611,340611,432573,371270,588249984,3.7,16.97,49.52433,13.0505,9.56645,307800768,,20508250,36200000,1248999,1373931,1726185600,1728950400,0.0446,0.02707,0.38127998,5.26,0.0446,37058600,0.693,23.448772,,-56328000,-1.17,-0.32,25.914,-8.569,2.3995817,0.19995654,,,NCM,EQUITY,DCTH,America/New_York,16.25,25,20,21.83333,21.5,,none,6,19906000,0.711,-35919000,5583000,1.925,2.555,11878000,27.914,0.505,-0.81987,-4.7859297,9152000,-16644625,-31374000,,14.689,0.7705,,-0.50373,
DDC,DDC Enterprise Limited,Packaged Foods,Consumer Defensive,104,,,,,,4,,,,,,,,,126474,126474,931143,216980,12660438,0.123,2.53,0.05928938,0.16786,0.43568,1797601792,-0.19742,4325792,78750400,334782,197778,1727654400,1730332800,0.0105,0.18224001,0.04088,0.36,,79625400,-259.479,,,-164087392,-4.92,,8.418,-165.387,-0.9042169,0.19995654,,,ASE,EQUITY,DDC,America/New_York,0.159,1,1,1,1,,none,1,24732792,3.797,-10869085,263370688,,,213536352,,32.785,,,58331620,,,,0.17,0.27317,-0.0509,0.00502,
DDL,Dingdong (Cayman) Limited,Grocery Stores,Consumer Defensive,3015,,,,,,4,,,,,,0.337,,1.5036851,371379,371379,865701,383500,726903104,1.08,4.79,0.032810353,3.7034,2.7859,-146441920,0.0094,159889708,180623008,1612194,1641462,1734048000,1736899200,0.0074,0.00201,0.30782,2.22,0.0104,216324000,2.907,1.1523907,62.406,198468000,-0.02,0.25,-0.007,-0.505,1.4275362,0.19995654,,,NYQ,EQUITY,DDL,America/New_York,3.35,5.41227,1.3189348,3.3991287,3.332876,,none,6,4292188928,13.24,290111488,2936699904,0.838,0.996,22154686464,390.889,102.231,0.01443,0.33084,6687298048,675017024,857985024,,0.272,0.30185,0.013090001,0.01691,
DEVS,DevvStream Corp.,Pollution & Treatment Controls,Industrials,,,,,,,4,,,,,,0.061,,,118621,118621,3645048,238930,15106872,0.48,1.91,,0.67802,0.7143115,20426668,,24811250,28343100,396638,611028,1732838400,1735603200,0.0114,0.26719,0.04081,0.15,,,-0.002,,,-8523263,-0.26,,,-2.421,-0.60518515,0.19995654,,,NCM,EQUITY,DEVS,America/New_York,0.533,,,,,,none,,102989,0.003,-8437356,899193,0.034,0.044,,,,-5.82368,,,682222,-2450515,,,,,,
DFLI,Dragonfly Energy Holdings Corp.,Electrical Equipment & Parts,Industrials,150,,,,,,4,,,,,,-0.816,,-5.7804875,23593,23593,86500,53250,20537282,2.1,13.14,0.39464417,2.9902,5.644365,74772448,-0.58967996,29375288,8665520,1013937,1125681,1727654400,1730332800,0.0162,0.49563,0.07532,5.23,0.0293,63128100,0.463,5.11879,,-30687000,-3.78,-0.41,1.437,-3.692,-0.47438455,0.19995654,,,NCM,EQUITY,DFLI,America/New_York,2.37,13.5,9,11.25,11.25,,none,3,4699000,0.075,-20253000,48783000,0.169,0.897,52040000,926.377,0.869,-0.14267999,-1.63756,13073000,-17587876,-19497000,,-0.315,0.25121,-0.38918,-0.51098,
DGHI,Digihost Technology Inc.,Capital Markets,Financial Services,15,,,,,,4,,,,,,7.208,,-3.4523811,854501,854501,467833,1140170,95733640,0.84,3.77,2.4977872,2.105,1.53963,55381656,-0.24538,19343612,33011600,230565,34929,1727654400,1730332800,0.007,0.29655,0.10253,1.47,0.0086,33635300,0.99,2.929293,,-9404734,-0.55,-0.84,1.445,31.662,0.4146341,0.19995654,,,NCM,EQUITY,DGHI,America/New_York,2.9,2.5,2.5,2.5,2.5,,none,1,1527056,0.051,1749145,770661,0.367,0.75,38327380,2.73,1.322,-0.19934,-0.28695,7155774,5714104,5912831,,0.572,0.1867,0.045640003,-0.50653,
DGLY,"Digital Ally, Inc.",Internet Content & Information,Communication Services,170,,,,,,4,,,,,,0.869,,-0.019118942,2615134,2615134,953330,3630660,1368525,0.1651,3.29,0.058441244,0.5162,1.41735,13702262,-0.8628,3108762,7883210,272095,301721,1731628800,1734048000,0.0557,0.05904,0.03014,0.76,0.0592,7883210,3.847,0.045126073,,-20204308,-6.57,-9.08,0.585,-0.832,-0.91943127,0.19995654,,,NCM,EQUITY,DGLY,America/New_York,0.1736,,,,,,none,,517113,0.134,-16474040,11495373,0.195,0.515,23417110,376.874,8.228,-0.24114001,-1.5775701,3244485,-5133386,-10192609,,-0.322,0.13855,-0.7035,-0.69695,
DGNX,Diginex Limited,,,,,,,,,2,,,,,,,,,350208,350208,1576653,774080,1040469440,3.6,53,,27.298462,27.298462,,,,,,,,,,,,,,,,,,,,,,,,,,,NCM,EQUITY,DGNX,America/New_York,45.25,,,,,,none,,,,,,,,,,,,,,,,,,,,,
DH,Definitive Healthcare Corp.,Health Information Services,Healthcare,950,10,5,6,5,6,2,,,,,,1.335,,17.478958,359697,359697,583201,670560,594943488,3.19,10.62,2.3253968,4.5092,4.8479,734363584,-1.4238299,44352680,115523000,2102694,2350413,1734048000,1736899200,0.0182,0.03938,0.94588,5.53,0.0404,115523000,4.388,1.1736554,,-364281984,-3.09,0.31,2.87,22.115,-0.46465695,0.19995654,,,NMS,EQUITY,DH,America/New_York,5.15,7,4,5.25,5,,none,10,306814016,2.656,33206000,257190000,2.312,2.488,255846000,36.976,2.187,-0.00763,-0.54775,216682000,91059872,54770000,,-0.04,0.84692,0.12979001,0.012619999,
DHAI,"DIH Holding US, Inc.",Medical Devices,Healthcare,,,,,,,4,,,,,,-0.646,,,545479,545479,236696,287170,27317656,0.61,3.67,0.4040177,1.28114,1.882755,55589936,-0.09087,22074690,41017500,111957,184867,1727654400,1730332800,0.0027,0.46234,0.03441,3.98,0.005,41017500,-0.942,,,-6144000,-0.32,,0.822,-41.392,-0.445,0.19995654,,,NGM,EQUITY,DHAI,America/New_York,0.666,,,,,,none,,2749000,0.068,-1343000,17794000,0.306,0.609,67615000,,2.35,-0.0305,,33040000,1754875,3657000,,0.241,0.48865002,-0.01986,-0.09625,
DHC,Diversified Healthcare Trust,REIT - Healthcare Facilities,Real Estate,,8,9,7,3,7,4,0.04,0.0152,1737936000,0.023,3.31,2.231,,-2.8586957,3229040,3229040,1052485,1342770,634553280,2.01,4.24,0.42952332,2.36,2.90595,3344572160,-0.26086,186013662,241275008,7047569,7956266,1734048000,1736899200,0.0292,0.102290004,0.75099,6.46,0.0324,241275008,8.49,0.30977622,,-385372992,-1.61,-0.92,2.264,15.512,-0.07067138,0.19995654,0.01,1737936000,NMS,EQUITY,DHC,America/New_York,2.63,2,2,2,2,,none,1,256527008,1.063,215604992,2966544896,13.117,16.53,1477342976,144.822,6.173,-0.00874,-0.17166,249282000,108583376,86819000,,0.048,0.16874,0.14594,-0.051599998,
DJT,Trump Media & Technology Group Corp.,Internet Content & Information,Communication Services,,,,,,,2,,,,,,5.593,,,4504342,4504342,14039570,7576600,6765859840,11.75,79.38,2007.7927,34.5187,32.50745,6101341184,,86380322,216924000,11446657,9243390,1734048000,1736899200,0.052800003,0.53665,0.07699,1.04,0.0828,216924000,3.809,8.188501,,-372393792,-0.42,,1810.594,-42.781,-0.3117829,0.19995654,,,NGM,EQUITY,DJT,America/New_York,31.19,,,,,,none,,672878208,3.104,-142618000,12342600,46.849,47.492,3369800,1.512,0.023,-0.21323,-0.98134005,3075800,-34446488,-51906300,,-0.056,0.91275,,-20.84469,
DLPN,"Dolphin Entertainment, Inc.",Advertising Agencies,Communication Services,245,,,,,,4,,,,,,1.959,,2.8333333,20117,20117,49580,43980,11385240,0.9,3.12,0.23286653,1.0842,1.5245,29571706,-0.31538,6855417,11162000,45996,17730,1727654400,1730332800,0.0041,0.37986,0.10593,1.02,0.0042,11162000,2.191,0.46554086,,-15419387,-3.3,0.36,0.605,-30.617,-0.6530612,0.19995654,,,NCM,EQUITY,DLPN,America/New_York,1.02,5,5,5,5,,none,1,8718975,0.785,-965863,26070676,0.803,0.914,48891700,127.622,5.61,-0.03093,-0.66274,45919816,3665850,-849466,,0.038,0.93921,-0.01976,-0.08113,
DLTH,Duluth Holdings Inc.,Apparel Retail,Consumer Cyclical,950,9,9,10,10,10,4,,,,,,1.339,,-5.7616277,39617,39617,51023,23350,102013880,2.73,5.08,0.15886894,3.1967,3.661,274745536,-0.02352,11291559,31813000,325640,358863,1728950400,1731628800,0.0093,0.56874,0.26714,7.06,0.023,35177200,6.55,0.4427481,,-15100000,-0.99,-0.25,0.428,13.332,-0.42000002,0.19995654,,,NMS,EQUITY,DLTH,America/New_York,2.9,3.5,3.5,3.5,3.5,,none,1,9787000,0.279,20608000,168274000,0.161,1.628,642126016,79.131,19.386,-0.01474,-0.06917,323456992,10902125,22870000,,0.018,0.50373,0.03209,0.00082,
DM,"Desktop Metal, Inc.",Computer Hardware,Technology,950,10,10,9,8,10,4,,,,,,0.598,,-4.0454545,118057,118057,318193,290990,89021544,2.02,11.8,0.52899903,2.9772,4.54905,198307584,-2.17203,21287829,33341400,2509163,2199076,1734048000,1736899200,0.0753,0.39867002,0.35769,7.1,0.1099,33341400,2.172,1.2292818,,-365515008,-11.15,-0.66,1.178,-3.313,-0.58411217,0.19995654,,,NYQ,EQUITY,DM,America/New_York,2.67,5,5,5,5,,none,1,30617000,0.918,-59851000,139903008,0.873,2.344,168283008,193.375,5.117,-0.24094999,-1.5296,18956000,58570000,-76540000,,-0.148,0.11264,-0.35566002,-0.86983,
DMAC,DiaMedica Therapeutics Inc.,Biotechnology,Healthcare,18,,,,,,2,,,,,,1.456,,-7.924051,54972,54972,108111,56550,267681360,2.14,6.41,,5.5455,4.06415,122454064,,26264695,42760600,175551,152275,1727654400,1730332800,0.0041,0.26225,0.31608,3.88,0.0059,42760600,1.345,4.654275,,-19902000,-0.56,-0.74,,-5.479,0.9873016,0.19995654,,,NCM,EQUITY,DMAC,America/New_York,6.26,11,6,8,7.5,,none,4,54055000,1.265,-22350000,388000,17.631,17.815,,0.726,,-0.23544,-0.35176,,-11141000,-19781000,,,,,,
DMN,Damon Inc. Common Stock,,,,,,,,,4,,,,,,,,,126924,126924,524330,339850,11409803,0.47,4.95,,0.75758,0.8405273,,,,,,,,,,,,,,,,,,,,,,,,,,,NGM,EQUITY,DMN,America/New_York,0.5179,,,,,,none,,,,,,,,,,,,,,,,,,,,,
DMRC,Digimarc Corporation,Information Technology Services,Technology,248,2,6,5,6,5,2,,,1398902400,,,1.679,,-45.01299,205627,205627,161195,136950,743519360,21,48.32,19.264654,38.1218,31.0135,608253760,-1.0598301,12137466,21451800,2098075,2120910,1727654400,1730332800,0.0979,0.29937,0.59721,27.64,0.2482,21451800,3.052,11.356487,,-40904000,-1.93,-0.74,15.76,-15.956,-0.16722727,0.19995654,0.11,1398902400,NMS,EQUITY,DMRC,America/New_York,34.66,40,28,34,34,,none,2,41461000,1.941,-38121000,6343000,4.72,5.067,38595000,8.22,1.857,-0.29742,-0.52506,28647000,-8625875,-20757000,,0.189,0.74224997,-0.98772,-0.96175003,
DMYY,"dMY Squared Technology Group, Inc.",Shell Companies,Financial Services,,,,,,,2,,,,,,,,,1504,1504,698,150,41926236,10.4,10.85,,10.6852,10.672185,42437572,,1063319,2338590,1255,761,1727654400,1730332800,0.0003,,0.89165,0.26,0.0005,3918340,7.784,1.3746146,,89096,-0.01,,,,0.001872659,0.19995654,,,ASE,EQUITY,DMYY,America/New_York,10.7,,,,,,none,,405955,0.104,,1505083,0.191,0.235,,7.934,,-0.026029998,0.00223,,-343455,-1299264,,,,,,
